id,author,downloads,likes,params_billions,tensor_types,storage_gb,architecture,model_type,library_name,gated,lastModified
zayoub/testin_hmi,zayoub,0,0,0,,0,,,,False,2024-12-10T16:24:00.000Z
WeMake/Clarity,WeMake,0,7,0,,0,,,,manual,2025-08-25T02:08:34.000Z
Menlo/Ichigo-whisper-v0.1,Menlo,0,25,0,,0.25,,,,False,2025-01-03T09:56:22.000Z
dairyproduct/helloworld,dairyproduct,0,0,0,,0,,,,False,2024-12-30T05:13:24.000Z
Shiina-Mahiru/Firefly-Neko,Shiina-Mahiru,0,3,0,,25.86,,,,False,2025-02-25T09:51:24.000Z
DhirajN/demo,DhirajN,0,0,0,,0,,,,False,2025-02-07T18:44:15.000Z
nvidia/audio-flamingo-2,nvidia,0,47,0,,117.11,,,,False,2025-07-18T05:28:38.000Z
Shiina-Mahiru/Firefly-Neko-zipped,Shiina-Mahiru,0,0,0,,20.55,,,,False,2025-02-12T17:35:39.000Z
nvidia/audio-flamingo-2-0.5B,nvidia,0,13,0,,33.88,,,transformers,False,2025-06-25T21:07:03.000Z
SaraAlthubaiti/TinyOctopus,SaraAlthubaiti,0,8,0,,13.23,,,,False,2025-03-05T15:27:11.000Z
WeMake/Val,WeMake,0,4,0,,0,,,,manual,2025-03-02T01:24:45.000Z
Lingalingeswaran/transcription_pipeline,Lingalingeswaran,0,0,0,,0,,,,False,2025-03-04T14:45:36.000Z
gowtham1800/vrmock,gowtham1800,0,0,0,,0,,,adapter-transformers,False,2025-04-24T09:00:09.000Z
aljshwby7777/ZkryaBt,aljshwby7777,0,0,0,,0,,,adapter-transformers,auto,2025-05-04T02:27:01.000Z
yxdu/llm-srt,yxdu,0,2,0,,0.3,,,transformers,False,2025-06-19T09:52:04.000Z
mispeech/GLAP,mispeech,0,1,0,,0.0,,,glap_model,False,2025-06-16T10:42:29.000Z
leduckhai/Sentiment-Reasoning,leduckhai,0,3,0,,13.59,,,transformers,False,2025-08-29T22:55:17.000Z
slprl/StresSLM,slprl,0,3,0,,0.08,,,transformers,False,2025-11-11T16:08:52.000Z
DeepSiteOptional/DEVtesting,DeepSiteOptional,0,1,0,,0,,,asteroid,False,2025-05-29T13:21:32.000Z
Akshay3399/Chiiki,Akshay3399,0,0,0,,0,,,adapter-transformers,False,2025-06-05T05:44:10.000Z
ahmedferah/darija_model,ahmedferah,0,0,0.04,F32,0.27,WhisperForConditionalGeneration,whisper,,auto,2025-06-05T18:29:14.000Z
ICTNLP/StreamUni-Phi4,ICTNLP,0,6,6.19,BF16,11.54,Phi4MMForCausalLM,phi4mm,adapter-transformers,False,2025-07-14T01:55:39.000Z
AINovice2005/Voxtral-Mini-3B-2507-smashed,AINovice2005,0,0,0,,8.73,,,transformers,False,2025-07-24T14:49:52.000Z
urroxyz/Voxtral-Mini-3B-2507_timestamped,urroxyz,0,2,0,,22.34,,,transformers.js,False,2025-07-27T00:47:21.000Z
allenai/OLMoASR,allenai,0,69,0,,33.92,,,,False,2025-08-28T16:26:04.000Z
nvidia/audio-flamingo-2-SoundCoT,nvidia,0,9,0,,41.34,,,,False,2025-08-28T01:15:50.000Z
bilguun/gemma-3n-E2B-it-audio-en-mn,bilguun,0,1,0,,3.45,,,transformers,False,2025-08-08T03:57:50.000Z
munsongo/Loki,munsongo,0,0,0,,0,,,adapter-transformers,False,2025-08-23T10:41:56.000Z
lcmiooooooo/test_HW3,lcmiooooooo,0,0,0,,0,,,,False,2025-09-18T19:59:20.000Z
ArabicSpeech/Octopus,ArabicSpeech,0,1,0,,0.0,,,,False,2025-11-08T17:21:08.000Z
